1,U.S.,10,100,40,40,40,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,English,5,60,100,20,20,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Scottish,3,60,20,100,20,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Irish,3,60,20,20,100,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,German,15,40,10,1,1,100,20,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Dutch,2,40,10,1,1,20,100,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,Scandanavian,30,40,10,1,1,20,20,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,French,3,40,10,1,1,1,1,40,100,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Italian,3,40,10,1,1,1,1,40,10,100,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Hispanic,5,40,10,1,1,1,1,40,10,10,100,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,Portugese,2,40,10,1,1,1,1,40,10,10,10,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,Russian,3,40,10,1,1,1,1,40,1,1,1,1,100,20,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,Slavic,4,40,10,1,1,1,1,40,1,1,1,1,20,100,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,Polish,2,40,10,1,1,1,1,40,1,1,1,1,10,10,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,Romanian,1,40,10,1,1,1,1,40,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,Finnish,1,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Albanian,1,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,Serbian,1,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,100,1,1,1,10,1,1,1,1,1,1,1,1,1,1
19,Greek,3,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1
20,Turkish,2,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,100,10,20,1,1,1,1,1,1,1,1,1,1
21,Armenian,1,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,10,100,1,1,1,1,1,1,1,1,1,1,1
22,Arabic,5,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,20,1,1,1,1,1,1,1,1,1
23,African,7,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,100,1,1,1,1,1,1,1,1,1
24,Pakistani,3,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,100,20,1,1,1,1,1,1,1
25,Indian,5,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,100,1,1,1,1,1,1,1
26,Japanese,20,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,10,1,1,1,1,1
27,Korean,3,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,100,1,1,1,1,1
28,Chinese,5,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1
29,Vietnamese,2,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,10,1,1
30,Indonesian,2,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,100,1,1
31,Polynesian,1,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1
32,Filipino,2,40,10,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100
